Text Blob Polarity,Vader Polarity,confidence,sentiment,text
0.8,-0.128,1,negative,@GOP Where’s the lie?   Republican Herschel Walker held a gun to his wife’s head and thinks stolen valor is great.
-0.6,0.0,0,neutral,@GOP Republican Herschel Walker’s permanent residence is in Texas.  What’s your fucking point?
0.2,0.0772,1,neutral,@GOP MAGA Republican Herschel Walker is a world-renowned expert on the intense ideological nature of the Cuban Revolution…:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
0.2,-0.233,1,negative,@Acyn He is a Republican and he could not in all honesty cast a vote for fellow Republican Herschel Walker.  No one should. Thanks
0.2,-0.233,1,negative,He is a Republican and he could not in all honesty cast a vote for fellow Republican Herschel Walker.  No one should. Thanks https://t.co/fTgSeo5EwG
-0.3499999999999999,-0.4388,1,negative,@sbaprolife @HerschelWalker Inflation is so bad in Georgia that Republican Herschel Walker had to put his girlfriends Abortion on a credit card last week.
0.0,0.0,1,neutral,Republican Herschel Walker calls Barack Obama a 'celebrity' when asked why ex-President Donald Trump is nowhere to be found ahead of next week's runoff election   https://t.co/1kHol2S49s
0.2520833333333334,0.7616,0,positive,"@GOP @HerschelWalker has taken to many hits in the head.... He is as bright as ink. And as clever as a ""werewolf""... apparently?? Vote for the other guy! @RaphaelWarnock https://t.co/JkqaIPFGaI"
0.19999999999999998,-0.459,1,negative,"@GOP Stop!!!!! This is a FAKE GOP ACCOUNT.  The GOP does not believe in early voting.  Please get out and vote for Republican Herschel Walker on election day, December 16th.  Remember, vote for Hershel on December 16th.  Spread the word to all good Republicans!!!!"
0.0,-0.7115,1,negative,@GOP Republican Herschel Walker tried to kill his ex. Paid for numerous abortions.  Can't string a sentence together and is 100% controlled by his  @GOP  handlers
-0.2916666666666667,0.0056,1,neutral,"@GOP That's Texas Republican Herschel Walker, isn't it? No wonder Ted Cruz is working so hard to get his fellow Texan elected."
0.125,-0.1511,1,negative,Early voting in Georgia is underway! Volunteer to help defeat Trump-endorsed MAGA Republican Herschel Walker: https://t.co/PhYzbngiLi -Stand Up America STOP2Quit
0.2,0.0,1,neutral,"@HerschelWalker @GOP REMINDER Republican Herschel Walker is getting a tax break intended only for a primary residence this year on his home in the Dallas, Texas, area, despite running for Senate in Georgia.  https://t.co/FZBv14tr4y"
0.125,-0.5707,1,negative,Early voting in Georgia is underway! Volunteer to help defeat Dipshit Trump-endorsed MAGA Republican Herschel Walker: https://t.co/MqPhToy3kh -Stand Up America :United_States: @Democracy1stE
