Text Blob Polarity,Vader Polarity,confidence,sentiment,text
0.4,0.7783,1,positive,@BarackObama @ReverendWarnock If you enjoy communism for your government. Vote for the NWO shill Warnock. He believes Fidel Castro is a hero.   https://t.co/WXv5bbhzoL
0.02500000000000001,0.4479,1,neutral,"Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations   “Where is the money really coming from? Communist China? Progressive dark money orgs? America deserves to know”:ballot_box_with_ballot::folded_hands:  https://t.co/xmsGX4oOqA"
0.0,0.0,1,neutral,"@madreperladel @Elgato_Weebee @VersNord @DaniaPeriodista @NelsonRAlbino @OmarRos88289077 @EstadistasC @providapr @cpcispr @ojuanvallejo @usaeagle51 @LcdoCorona @ELBOINAISBACK @jovi0530 @JustMfm @PapiTrumpo @catturd2 @politica_errada @expectlibert @RayCruzSantiago @RoxyColon17 Democrat Raphael Warnock is a Thug  Received Over $24 Million from Hundreds of UNEMPLOYED -  Over 358,000 Donations https://t.co/CwfJJzKDTX"
0.0,0.0,1,neutral,"⁦  @PRRepublicans @LcdoCorona @PRRepublicans ⁩ @mjean2 @PRRA1VP @PRRAsecretary  Democrat Raphael Warnock is a Thug   Received Over $24 Million from Hundreds of UNEMPLOYED -  Over 358,000 Donations ref https://t.co/daORXec9X4 https://t.co/CwfJJzKDTX"
0.0,0.0,1,neutral,@LcdoCorona @mjean2 @AnaToledoDavila @Alisonbcruz1 @BaMbINiTo @charlieboy0315 @elgatoweebee @PRus51 @ELBOINAISBACK   Democrat Raphael Warnock is a Thug https://t.co/Rwy8y0FaxX
0.0,0.0,1,neutral,"Democrat Raphael Warnock is a Thug  Received Over $24 Million from Hundreds of UNEMPLOYED -  Over 358,000 Donations ref https://t.co/Gy7V51BlkQ https://t.co/dvcqy5AQZt https://t.co/CwfJJA2N85"
0.0,0.2808,1,neutral,"This race is rigged. You watch. EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/5gwTswrQb9 via @gatewaypundit"
0.2,0.7331,0,positive,"HOW IS THIS LEGAL?  ""EXCLUSIVE: “Campaign Finance Mules” Identified in Georgia Senate Race – Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations""  https://t.co/NahSLoXdvB"
-0.13888888888888887,0.3612,0,neutral,@garrison_hayes @MotherJones Democrat Raphael Warnock is a fake preacher   He openly support things that God is against   Warnock support same sex marriage   Something that God said is an abomination   Warnock marched in gay parade  celebrating sin   Should Christians vote for that fake preacher
0.0,0.6027,0,positive,"We should KNOW who is funding every candidate! EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/S5zZd4ypMe via @gatewaypundit"
0.2,0.6289,1,positive,"Is this even legal?   EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/IjvlJcr04s via @gatewaypundit"
0.0,0.5622,0,positive,"Where is all this laundered money coming from?  EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/EI3hiUbBYk via @gatewaypundit"
0.0,0.6337,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/71Is89rYNC via @gatewaypundit. Where is the money coming from?  Unemployed??"
-0.13750000000000004,0.5267,0,positive,@XThinkerXX @NewYorker @benwallacewells There's over 100 Bible sciptures that warns us to be aware of false preachers   Democrat Raphael Warnock is a false preacher   He openly support things that God is against
-1.0,-0.6459,1,negative,#Poll Shows Democrat Raphael Warnock Leading in Close Georgia Runoff Racethis poll is absolutely disgusting! how could anyone vote for this clown! :face_vomiting::face_vomiting::face_vomiting::face_vomiting: https://t.co/TjE4OkWdCT
-0.25,-0.7213,1,negative,@NewYorker @benwallacewells Fake preacher Democrat Raphael Warnock   Was a so called preacher with NO political experience   So what quality him to be a Senator   Just because a person is a so called preacher   Does that quality them to be Senator
-0.05,0.7184,0,positive,Report it for what it is...a racially motivated politically motivated shooting ...15-Year-Old Shot in Savannah While Allegedly Campaigning for Democrat Raphael Warnock https://t.co/30brh7tSL2
0.0,0.639,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/CT7pwlJrMk via @gatewaypundit &gt;I bet the money is coming from Soros! Must read!"
-0.1,-0.1513,1,negative,Anyone out there who doesn’t feel like Walker is going to get absolutely crushed in this runoff? https://t.co/Zcw1DKBk9M
0.0,0.5622,0,positive,"Where is Warnock getting all his money?  EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/F4RSLSZoJ6 via @gatewaypundit"
0.0,0.5622,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/XViu3lBzEk via @gatewaypundit Is this being investigated?"
0.5,-0.4453,1,negative,"MORE FRAUD, THIS GUYS IS A POS EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/Y8q0lsbcZC via @gatewaypundit"
0.0,0.5622,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations.  This is why we NEED $$$ out of campaigns &amp; POLITICS  https://t.co/6zQs4Zsjql"
0.2,0.34,1,neutral,"""Where is the money really coming from?  We need to know.  “Campaign Finance Mules” Identified in Georgia Senate Race – Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations  https://t.co/IPq6hsxHb2"
0.0,0.5622,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/owxhRswxBs via @gatewaypundit. So where is the money to donate coming from?"
-0.2,0.5622,0,positive,"EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations   Is the lawlessness boundless?  https://t.co/rNlZMaOu3k via @gatewaypundit"
0.0,0.5622,0,positive,"This is MASSIVE  EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/qdHDWXK8pj via @gatewaypundit"
0.2,0.8277,0,positive,"Is the Democrat party capable of not cheating?  EXCLUSIVE: ""Campaign Finance Mules"" Identified in Georgia Senate Race - Democrat Raphael Warnock Received Over $24 Million from Hundreds of UNEMPLOYED Donors Giving Over 358,000 Donations https://t.co/3uHx1g38B4 via @gatewaypundit"
0.0,-0.7088,1,negative,Democrat Raphael Warnock Guaranteed Senare Runoff Victory As Georgia Election Is Openly Being Stolen By Shameless Democrats! https://t.co/JmmRg33ui2
-0.35,-0.9076,1,negative,WORST Possible choice for Senator from Georgia. Democrat Raphael Warnock is facing numerous controversies as he approaches runoff race. Has threatened to EVICT POOR TENANTS who cannot pay $200 in rent. https://t.co/j3S6vyp23E
-0.35,-0.9076,1,negative,@ReverendWarnock @BarackObama WORST Possible choice for Senator from Georgia. Democrat Raphael Warnock is facing numerous controversies as he approaches runoff race. Has threatened to EVICT POOR TENANTS who cannot pay $200 in rent. https://t.co/IAK8AJIz3d
-0.35,-0.9076,1,negative,WORST Possible choice for Senator from Georgia. Democrat Raphael Warnock is facing numerous controversies as he approaches runoff race. Has threatened to EVICT POOR TENANTS who cannot pay $200 in rent. https://t.co/d4zD9wdJfR
0.08333333333333334,0.5106,1,positive,"The main problem with the @GOP when it comes to issues of race is that they mistakenly believe Black folks are interchangeable. Like, any Black person will do  Georgia elected Democrat Raphael Warnock?   Grand Ol' Party says: https://t.co/wZWTrsMSiW"
0.07916666666666666,-0.9147,1,negative,"@mmpadellan Joe Manchin, as much as folks despise him,  much closer to “REVEREND” status than is  @ReverendWarnock   Who STEALS $7K/month per diem from his “church”, and can’t defend democrat policies on BABY MURDER or gay rights,  While clinging to his silly title  https://t.co/XybghDf6my"
-0.3,0.6605,0,positive,"@ReverendWarnock Democrat Raphael Warnock once praised dictator Fidel Castro’s legacy as “complex, kinda like America’s legacy is complex.”"
-0.3,0.6605,0,positive,"Democrat Raphael Warnock once praised dictator Fidel Castro’s legacy as “complex, kinda like America’s legacy is complex.”"
-0.3,0.8056,0,positive,"@ReverendWarnock Like this ??  Democrat Raphael Warnock once praised dictator Fidel Castro’s legacy as “complex, kinda like America’s legacy is complex.”"
-0.3,0.6605,0,positive,"Democrat Raphael Warnock once praised dictator Fidel Castro’s legacy as “complex, kinda like America’s legacy is complex.”"
-0.35,-0.9076,1,negative,WORST Possible choice for Senator from Georgia. Democrat Raphael Warnock is facing numerous controversies as he approaches runoff race. Has threatened to EVICT POOR TENANTS who cannot pay $200 in rent. https://t.co/9vwyaUCe2X
-0.35,-0.9076,1,negative,WORST Possible choice for Senator from Georgia. Democrat Raphael Warnock is facing numerous controversies as he approaches runoff race. Has threatened to EVICT POOR TENANTS who cannot pay $200 in rent. https://t.co/p1jcF1kHbK
0.0,0.0772,1,neutral,"Warnock is a Communist sympathizer, no wonder you like him. https://t.co/U9kyOVOwZT https://t.co/7KS0xD8rSc"
0.75,-0.5386,1,negative,"@dfinn @GOP He also was called as seen on police body cam, a “good actor” by his ex-wife who he harassed and tried to run over with his car. The so called “Reverend”is not a virtuous man lol https://t.co/CvgYlLrfKJ"
0.0,-0.9066,1,negative,"GEORGIANS !!!! Although Hershall  Walker Is not the Brightest Bulb In the Lamp, he Is a Republican who needs to claim the Senate Seat rather than Democrat Raphael Warnock.  Warnock Is a LYING,  HERETIC &amp; Slum Lord. He Lies about his treatment of his ex-wife &amp; his tenants."
-0.13333333333333333,-0.0,1,neutral,"@ReverendWarnock He can't emphasize this enough because if he loses, the grift is over for him and his church.   Raphael Warnock Spent over $61K in Campaign Funds to Pay Child Support https://t.co/94Rxr2KdOE"
0.2119047619047619,0.6898,1,positive,"@GOP Here let me fix that for you GOP ""You can now vote early in the entire state of Georgia, so get out and VOTE for Democrat Raphael Warnock"" oh and you don't have to thank me for the correction.. it's all good.. remember Black is beautiful especially on the left side of the aisle https://t.co/1xyhHoGGKS"
-0.25,0.34,0,neutral,@thehill Democrat Raphael Warnock is a fake preacher   He openly support things that God is against   He support men marrying men   Something that God said is an abomination   Why should any Christian vote for a fake preacher
